FECHA;OPER;TIPO;GRUPO_NETEO;FONDO;CVA;DVA;NETO;COD
20260514;1091276;FWD;140;WA;-1165178.62991334;0;-1165178.62991334;01
20260514;1091278;FWD;140;WA;-76085276.0594341;0;-76085276.0594341;01
20260514;1095643;FWD;140;WA;-5910.91946323043;0;-5910.91946323043;01
20260514;1095645;FWD;140;WA;-201682.944804629;0;-201682.944804629;01
20260514;1095647;FWD;140;WA;-331000.386680398;0;-331000.386680398;01
20260514;1095649;FWD;140;WA;-498121.511138242;0;-498121.511138242;01
20260514;1095651;FWD;140;WA;-627585.192727027;0;-627585.192727027;01
20260514;1095653;FWD;140;WA;-728787.958480177;0.219638568868703;-728787.738841608;01
20260514;1095655;FWD;140;WA;-880867.319643801;0.416764324183532;-880866.902879477;01
20260514;1095657;FWD;140;WA;-57581822.0236815;25.9912658851588;-57581796.0324156;01
20260514;1095714;FWD;140;WA;-265.715227987334;0;-265.715227987334;01
20260514;1095716;FWD;140;WA;-8871.02188718257;0;-8871.02188718257;01
20260514;1095718;FWD;140;WA;-14264.7937978147;0;-14264.7937978147;01
20260514;1095720;FWD;140;WA;-20711.5912799701;0.189140173351833;-20711.4021397967;01
20260514;1095722;FWD;140;WA;-25338.8870783185;0.936927629734981;-25337.9501506888;01
20260514;1095724;FWD;140;WA;-28568.2481470513;3.31926707659099;-28564.9288799747;01
20260514;1095726;FWD;140;WA;-33672.9045633874;10.7418428186466;-33662.1627205687;01
20260514;1095961;FWD;140;WA;-2182382.48938469;709.574403944441;-2181672.91498075;01
20260514;1096129;FWD;140;WA;-6080.62996900293;0;-6080.62996900293;01
20260514;1096131;FWD;140;WA;-206956.944440259;0;-206956.944440259;01
20260514;1096133;FWD;140;WA;-338910.813929891;0;-338910.813929891;01
20260514;1096135;FWD;140;WA;-508789.133912049;0;-508789.133912049;01
20260514;1096137;FWD;140;WA;-652672.093466081;0;-652672.093466081;01
20260514;1096139;FWD;140;WA;-741165.726589945;0;-741165.726589945;01
20260514;1096141;FWD;140;WA;-895042.465819407;0;-895042.465819407;01
20260514;1096145;FWD;140;WA;-58525279.2534866;0;-58525279.2534866;01
20260514;1098150;FWD;138;DD;-1609494.04447644;12715.2299890661;-1596778.81448737;01
20260514;1098152;FWD;138;DI;-5771978.64226035;45599.44547803;-5726379.19678232;01
20260514;1098154;FWD;138;DL;-12653953.1772631;99968.0150864505;-12553985.1621767;01
20260514;1098156;FWD;138;EU;-110999.589274237;876.912413039039;-110122.676861198;01
20260514;1098158;FWD;138;H6;-1054496.09810526;8330.66792387087;-1046165.43018139;01
20260514;1098160;FWD;138;HT;-4251284.26920329;33585.7454193952;-4217698.5237839;01
20260514;1098162;FWD;138;HU;-210899.219621051;1666.13358477417;-209233.086036277;01
20260514;1098166;FWD;138;M6;-2073472.32764276;16380.7238755693;-2057091.60376719;01
20260514;1098168;FWD;138;MW;-1354194.9891457;10698.3314390763;-1343496.65770662;01
20260514;1098170;FWD;138;VP;-186479.309980719;1473.21285390559;-185006.097126813;01
20260514;1098172;FWD;138;HA;-288598.932113017;2279.9722739015;-286318.959839116;01
20260514;1098198;FWD;987;92;-553185.330195443;15943468.6598074;15390283.329612;01
20260514;1098200;FWD;983;94;-625784.683028967;16243671.5053796;15617886.8223506;01
20260514;1098202;FWD;987;92;-566038.205340944;15772761.3155034;15206723.1101625;01
20260514;1098204;FWD;983;94;-640409.754715293;16071390.747873;15430980.9931577;01
20260514;1099420;FWD;116;DD;-201451.052618805;602.0184003556;-200849.034218449;01
20260514;1099422;FWD;116;DL;-1678758.77182337;5016.82000296333;-1673741.95182041;01
20260514;1099424;FWD;116;H6;-167875.877182337;501.682000296333;-167374.195182041;01
20260514;1099426;FWD;116;HT;-839379.385911687;2508.41000148166;-836870.975910205;01
20260514;1099428;FWD;116;HU;-70507.8684165817;210.70644012446;-70297.1619764572;01
20260514;1099430;FWD;116;HA;-16787.5877182337;50.1682000296333;-16737.4195182041;01
20260514;1099797;FWD;988;H6;-350706.214783297;61.6581525624037;-350644.556630735;01
20260514;1099799;FWD;988;M6;-561129.943653275;98.6530440998459;-561031.290609175;01
20260514;1099801;FWD;988;HT;-490988.700696616;86.3214135873652;-490902.379283029;01
20260514;1099824;FWD;116;DD;-2630965.51457634;16342.7872844468;-2614622.72729189;01
20260514;1099827;FWD;116;DI;-399263.169822457;2480.10588461594;-396783.063937841;01
20260514;1099829;FWD;116;H6;-5877710.04728682;36510.6134954157;-5841199.4337914;01
20260514;1099833;FWD;116;HT;-19541051.9061116;121383.291740842;-19419668.6143708;01
20260514;1099836;FWD;116;HU;-552214.73239126;3430.19619862304;-548784.536192637;01
20260514;1099838;FWD;116;M6;-22482389.9096668;139654.022032609;-22342735.8876342;01
20260514;1099840;FWD;116;VP;-74489.3973549361;462.706321756704;-74026.6910331794;01
20260514;1099842;FWD;116;HA;-2401538.17072314;14917.6518134361;-2386620.5189097;01
20260514;1100419;FWD;116;HT;-987565.319535176;7599.91491216019;-979965.404623016;01
