Mid;USD;COP;ARS;AUD;BRL;CAD;CHF;CLP;CNH;CNY;EUR;GBP;JPY;KRW;MXN;MYR;NOK;NZD;PEN;RUB;SEK;ZAR;DKK;CZK;CRC;HNL;GTQ;CLF;UVR;SGD;HKD;DOP;VEF;PLN;TRY;HUF;KWD;TTD;IDR;ILS;INR;PHP;PYG;THB;TWD;UYU;UDI;NIO;ANG;XCD;GYD;ETB;JMD;AED;QAR;BGN;MAD
HKD;0.127665;483.172519;177.706223;0.176322;0.637942;0.175209;0.099823;113.749231;0.866243;0.866226;0.109096;0.094497;20.164299;190.440968;2.195621;0.501909;1.178024;0.215291;0.435962;9.373409;1.190733;2.094587;0.815267;2.651262;58.011469;3.396838;0.973475;0.002821;1.177166;0.162565;1;7.598857;65.079305;0.462329;5.800408;38.994349;0.03911;0.862158;2229.663328;0.370906;12.226168;7.854727;778.346028;4.125483;4.024884;5.116034;0.248321;4.67563;0.22852;0.344695;26.707451;20.079344;20.134444;0.468849;0.465402;0.213371;1.174413
DOP;0.016801;63.584893;23.385914;0.023204;0.083952;0.023057;0.013137;14.969255;0.113997;0.113994;0.014357;0.012436;2.653596;25.061791;0.288941;0.066051;0.155026;0.028332;0.057372;1.233529;0.156699;0.275645;0.107288;0.348903;7.634236;0.44702;0.128108;0.000371;0.154914;0.021393;0.131599;1;8.564354;0.060842;0.763326;5.131607;0.005147;0.113459;293.420877;0.048811;1.608948;1.033672;102.429354;0.542908;0.52967;0.673264;0.032679;0.615307;0.030073;0.045361;3.514667;2.642416;2.649667;0.0617;0.061246;0.028079;0.154551
VEF;0.001962;7.424365;2.73061;0.002709;0.009803;0.002692;0.001534;1.747856;0.013311;0.01331;0.001676;0.001452;0.309842;2.926291;0.033738;0.007712;0.018101;0.003308;0.006699;0.144031;0.018297;0.032185;0.012527;0.040739;0.891397;0.052195;0.014958;0.000043;0.018088;0.002498;0.015366;0.116763;1;0.007104;0.089128;0.599182;0.000601;0.013248;34.260712;0.005699;0.187866;0.120695;11.959962;0.063392;0.061846;0.078612;0.003816;0.071845;0.003511;0.005297;0.410383;0.308537;0.309383;0.007204;0.007151;0.003279;0.018046
PLN;0.276134;1045.083756;384.371793;0.381377;1.379843;0.37897;0.215914;246.035254;1.873651;1.873614;0.235971;0.204394;43.614611;411.91656;4.749044;1.08561;2.54802;0.465666;0.942969;20.274327;2.575511;4.530511;1.763391;5.734579;125.476599;7.347231;2.10559;0.006101;2.546165;0.351621;2.162962;16.436039;140.764059;1;12.546062;84.343291;0.084594;1.864815;4822.676861;0.802256;26.444735;16.989476;1683.532814;8.923262;8.705672;11.065788;0.537108;10.113209;0.49428;0.745561;57.7672;43.430855;43.550035;1.014102;1.006646;0.461513;2.54021
TRY;0.02201;83.299747;30.636849;0.030398;0.109982;0.030206;0.01721;19.610557;0.149342;0.149339;0.018808;0.016291;3.476359;32.83234;0.378529;0.08653;0.203093;0.037117;0.075161;1.615991;0.205284;0.36111;0.140553;0.457082;10.001274;0.585621;0.167829;0.000486;0.202945;0.028026;0.172402;1.310056;11.219781;0.079706;1;6.722691;0.006743;0.148637;384.39767;0.063945;2.107812;1.354168;134.188151;0.71124;0.693897;0.882013;0.042811;0.806086;0.039397;0.059426;4.604409;3.461712;3.471212;0.08083;0.080236;0.036785;0.202471
HUF;0.003274;12.390834;4.55723;0.004522;0.01636;0.004493;0.00256;2.91707;0.022215;0.022214;0.002798;0.002423;0.517108;4.883809;0.056306;0.012871;0.03021;0.005521;0.01118;0.240379;0.030536;0.053715;0.020907;0.067991;1.487689;0.087111;0.024965;0.000072;0.030188;0.004169;0.025645;0.194871;1.668942;0.011856;0.14875;1;0.001003;0.02211;57.17914;0.009512;0.313537;0.201432;19.960483;0.105797;0.103217;0.131199;0.006368;0.119905;0.00586;0.00884;0.684906;0.51493;0.516343;0.012023;0.011935;0.005472;0.030118
KWD;3.26424;12354.170067;4543.745389;4.508345;16.311438;4.479892;2.552367;2908.438061;22.148849;22.148408;2.789472;2.416185;515.578128;4869.358282;56.139521;12.833245;30.12072;5.504744;11.147054;239.667374;30.445693;53.556191;20.845446;67.789751;1483.28709;86.853272;24.890648;0.072127;30.098786;4.156592;25.568859;194.294108;1664.003591;11.821225;148.309816;997.041012;1;22.044394;57009.947564;9.483647;312.609164;200.836412;19901.419945;105.483887;102.911702;130.811164;6.349274;119.550514;5.84299;8.813449;682.87906;513.405908;514.814754;11.987922;11.899788;5.45565;30.028399
TTD;0.148076;560.422312;206.117957;0.204512;0.739936;0.203221;0.115783;131.935498;1.004738;1.004718;0.126539;0.109605;23.388175;220.888737;2.546658;0.582155;1.366366;0.249712;0.505664;10.872033;1.381108;2.42947;0.945612;3.075147;67.286364;3.939926;1.129115;0.003272;1.365371;0.188556;1.15988;8.813765;75.484208;0.536246;6.727779;45.228779;0.045363;1;2586.142691;0.430207;14.180892;9.110544;902.788266;4.785066;4.668384;5.933988;0.288022;5.423171;0.265056;0.399805;30.977448;23.289636;23.353546;0.543808;0.53981;0.247485;1.362178
IDR;0.000057;0.216702;0.079701;0.000079;0.000286;0.000079;0.000045;0.051016;0.000389;0.000389;0.000049;0.000042;0.009044;0.085412;0.000985;0.000225;0.000528;0.000097;0.000196;0.004204;0.000534;0.000939;0.000366;0.001189;0.026018;0.001523;0.000437;0.000001;0.000528;0.000073;0.000448;0.003408;0.029188;0.000207;0.002601;0.017489;0.000018;0.000387;1;0.000166;0.005483;0.003523;0.349087;0.00185;0.001805;0.002295;0.000111;0.002097;0.000102;0.000155;0.011978;0.009006;0.00903;0.00021;0.000209;0.000096;0.000527
ILS;0.344197;1302.681317;479.113708;0.475381;1.719954;0.472381;0.269133;306.679275;2.335478;2.335431;0.294135;0.254774;54.364963;513.44785;5.919613;1.353197;3.176069;0.580446;1.175397;25.271646;3.210336;5.647215;2.198041;7.148068;156.404709;9.158214;2.624586;0.007605;3.173756;0.43829;2.6961;20.487277;175.4603;1.246485;15.638479;105.132655;0.105445;2.324464;6011.394788;1;32.962968;21.177128;2098.498547;11.122713;10.85149;13.793339;0.669497;12.605964;0.616112;0.929331;72.005953;54.135914;54.284469;1.264062;1.254769;0.575269;3.166334
INR;0.010442;39.519539;14.534908;0.014422;0.052178;0.014331;0.008165;9.303752;0.070852;0.07085;0.008923;0.007729;1.649274;15.576505;0.179584;0.041052;0.096353;0.017609;0.035658;0.766668;0.097392;0.17132;0.066682;0.216851;4.744861;0.277833;0.079622;0.000231;0.096282;0.013296;0.081792;0.621524;5.322952;0.037815;0.474426;3.189417;0.003199;0.070517;182.368126;0.030337;1;0.642452;63.662305;0.337431;0.329202;0.41845;0.020311;0.382428;0.018691;0.028193;2.18445;1.642325;1.646832;0.038348;0.038066;0.017452;0.096057
